date,city,chai_type,size,channel,units_sold,unit_price,revenue,customer_rating,discount_pct,profit
2025-01-01 00:00:00.000000000,Lucknow,Tandoori Chai,Medium,Store,143,55,8959.05,4.4,5,2308.09
2025-01-02 11:05:03.614457831,Jaipur,Elaichi Chai,Small,Delivery,106,40,4661.87,3.3,15,1110.77
2025-01-03 22:10:07.228915662,Bengaluru,Tandoori Chai,Small,Store,74,40,2855.65,3.8,0,767.46
2025-01-05 09:15:10.843373494,Jaipur,Elaichi Chai,Large,Store,51,70,3738.28,4.2,0,1366.1
2025-01-06 20:20:14.457831325,Jaipur,Ginger Chai,Small,Delivery,154,40,7056.79,3.6,20,2401.72
2025-01-08 07:25:18.072289156,Mumbai,Elaichi Chai,Large,Store,112,70,8789.03,4.0,5,2811.8
2025-01-09 18:30:21.686746988,Bengaluru,Elaichi Chai,Small,Store,27,40,1134.22,3.6,0,320.04
2025-01-11 05:35:25.301204819,Bengaluru,Tandoori Chai,Small,Delivery,84,40,3783.13,4.0,0,1368.01
2025-01-12 16:40:28.915662650,Bengaluru,Tandoori Chai,Medium,Online Order,76,55,4795.7,4.0,20,1582.01
2025-01-14 03:45:32.530120482,Jaipur,Masala Chai,Medium,Store,86,55,5136.01,4.4,0,2045.89
2025-01-15 14:50:36.144578313,Lucknow,Masala Chai,Large,Store,91,70,5836.49,4.2,10,2239.23
2025-01-17 01:55:39.759036144,Bengaluru,Ginger Chai,Medium,Store,73,55,4016.59,4.4,10,1104.65
2025-01-18 13:00:43.373493976,Pune,Masala Chai,Large,Store,86,70,6678.93,4.4,0,1928.81
2025-01-20 00:05:46.987951807,Jaipur,Elaichi Chai,Small,Store,70,40,2681.4,4.7,10,1027.96
2025-01-21 11:10:50.602409638,Mumbai,Tandoori Chai,Small,Store,116,40,5139.55,4.6,0,1960.8
2025-01-22 22:15:54.216867470,Lucknow,Masala Chai,Medium,Store,111,55,5678.17,4.5,0,1772.64
2025-01-24 09:20:57.831325301,Pune,Masala Chai,Large,Store,27,70,1723.18,5.0,10,617.97
2025-01-25 20:26:01.445783132,Pune,Ginger Chai,Large,Store,54,70,3764.97,4.4,15,1321.77
2025-01-27 07:31:05.060240964,Mumbai,Ginger Chai,Medium,Store,115,55,5750.58,5.0,10,1930.45
2025-01-28 18:36:08.674698795,Lucknow,Elaichi Chai,Medium,Store,107,55,6704.88,4.4,5,2468.72
2025-01-30 05:41:12.289156626,Jaipur,Tandoori Chai,Medium,Store,97,55,5903.45,4.2,0,1918.93
2025-01-31 16:46:15.903614458,Delhi,Ginger Chai,Small,Store,51,40,2244.39,4.0,0,802.91
2025-02-02 03:51:19.518072289,Lucknow,Masala Chai,Large,Online Order,139,70,10288.93,4.9,0,3650.84
2025-02-03 14:56:23.132530120,Mumbai,Tandoori Chai,Large,Delivery,65,70,4341.07,4.9,0,1821.55
2025-02-05 02:01:26.746987952,Pune,Tandoori Chai,Medium,Delivery,163,55,9230.05,4.5,0,3858.09
2025-02-06 13:06:30.361445783,Jaipur,Masala Chai,Medium,Delivery,161,55,9291.72,4.7,0,3870.34
2025-02-08 00:11:33.975903614,Lucknow,Ginger Chai,Medium,Store,74,55,4197.22,3.6,0,1058.57
2025-02-09 11:16:37.590361446,Delhi,Masala Chai,Small,Store,26,40,1003.66,3.5,0,401.37
2025-02-10 22:21:41.204819277,Delhi,Tandoori Chai,Large,Store,93,70,6697.57,4.8,5,2556.12
2025-02-12 09:26:44.819277108,Bengaluru,Kashmiri Chai,Medium,Delivery,26,55,1462.6,4.1,15,479.48
