student_id,age,marks,internal_marks,research_papers,projects,placed
100001,18,67.5,26.1,2,0,1
100002,24,66.5,30.0,0,4,1
100003,23,81.2,30.0,2,2,1
100004,21,81.8,25.0,1,2,0
100005,21,65.6,13.3,1,2,0
100006,24,67.2,19.5,1,0,1
100007,18,78.5,28.8,1,3,1
100008,23,62.1,17.2,2,1,1
100009,19,67.1,23.4,0,6,1
100010,18,73.1,26.7,1,3,1
100011,22,84.0,30.0,2,3,1
100012,25,64.7,22.1,2,5,1
100013,23,49.9,21.8,0,1,0
100014,24,49.0,24.7,1,3,1
100015,23,56.9,26.8,0,2,1
100016,24,56.2,24.2,1,2,0
100017,22,70.1,30.0,1,4,1
100018,19,57.7,21.0,1,1,0
100019,24,63.6,25.6,1,1,0
100020,21,62.7,27.2,2,5,1
100021,22,66.7,23.0,2,5,1
100022,20,87.9,29.2,1,3,1
100023,19,79.9,25.7,3,1,1
100024,25,72.2,28.9,1,3,1
100025,24,66.5,26.0,1,6,1
100026,23,66.8,26.9,0,4,1
100027,21,75.9,21.8,2,2,1
100028,24,79.0,21.8,3,2,1
100029,22,61.1,30.0,0,2,0
100030,21,72.4,28.2,0,2,1
100031,21,47.6,19.9,1,1,1
100032,19,74.5,25.9,3,1,1
100033,18,81.1,13.1,2,3,1
100034,22,68.6,22.1,0,3,1
100035,25,93.8,29.8,0,5,1
100036,18,61.4,24.4,2,3,1
100037,24,74.6,25.6,0,4,1
100038,24,71.6,10.0,1,2,0
100039,20,70.8,23.0,0,3,1
100040,23,70.6,26.7,0,4,1
100041,19,73.3,27.3,4,7,1
100042,24,82.2,29.8,1,3,1
100043,23,88.5,23.9,1,2,1
100044,20,72.0,24.2,0,1,1
100045,18,81.8,18.3,0,1,0
100046,25,63.6,24.0,0,4,1
100047,21,81.2,18.7,0,5,1
100048,25,62.9,15.8,1,1,1
100049,23,85.1,19.6,2,3,1
100050,24,98.5,30.0,2,2,1
100051,24,70.5,23.6,0,3,1
100052,19,45.7,26.1,1,3,1
100053,20,65.4,22.4,1,1,1
100054,21,86.8,16.0,3,3,1
100055,21,78.6,29.7,0,2,1
100056,18,75.0,14.1,2,1,0
100057,22,84.1,22.2,0,1,0
100058,19,77.8,24.7,2,1,1
100059,23,86.6,26.2,1,3,1
100060,23,83.0,21.4,0,2,1
100061,25,90.3,15.8,2,0,0
100062,23,76.3,21.0,1,2,1
100063,20,82.9,21.3,0,2,1
100064,25,68.3,21.1,1,3,1
100065,21,64.8,29.9,0,0,1
100066,20,92.5,18.9,1,3,1
100067,25,74.6,26.5,2,1,0
100068,20,81.7,25.8,1,3,1
100069,18,73.5,29.8,0,4,1
100070,21,65.0,24.3,1,2,0
100071,24,72.1,29.0,3,2,1
100072,19,89.2,24.1,0,3,1
100073,21,78.7,27.2,2,4,1
