student_id,age,marks,internal_marks,research_papers,projects,placed
100001,18,72.6,20.5,1,6,0
100002,24,61.8,10.4,0,4,0
100003,23,77.5,16.1,0,8,0
100004,21,74.0,16.5,1,2,0
100005,21,69.4,30.0,0,5,1
100006,24,78.5,25.7,1,0,0
100007,18,50.2,16.4,0,3,0
100008,23,65.5,29.2,4,1,0
100009,19,61.5,29.7,2,5,1
100010,18,62.7,28.2,0,5,1
100011,22,70.2,25.3,0,2,0
100012,25,61.1,26.9,1,2,0
100013,23,92.1,20.5,1,1,0
100014,24,77.4,27.6,3,4,1
100015,23,62.5,25.6,0,4,0
100016,24,51.1,15.2,1,3,0
100017,22,65.0,21.8,1,3,0
100018,19,68.0,25.0,1,6,0
100019,24,64.4,16.9,0,3,0
100020,21,100.0,23.4,0,3,1
100021,22,52.1,20.5,1,3,0
100022,20,72.6,16.1,4,2,0
100023,19,70.4,30.0,1,3,0
100024,25,69.0,27.1,2,3,0
100025,24,48.7,22.3,0,2,0
100026,23,71.5,29.8,1,3,1
100027,21,74.2,30.0,0,0,0
100028,24,80.5,19.5,0,6,0
100029,22,77.8,30.0,0,4,0
100030,21,86.6,29.5,1,1,0
100031,21,47.4,28.9,1,1,0
100032,19,69.2,30.0,3,3,0
100033,18,100.0,30.0,1,2,0
100034,22,84.7,29.0,2,2,0
100035,25,54.6,28.8,1,1,0
100036,18,73.1,23.6,1,7,1
100037,24,59.4,22.4,0,2,0
100038,24,66.8,29.6,0,1,0
100039,20,96.0,21.8,0,3,1
100040,23,83.5,30.0,0,2,0
100041,19,53.8,22.3,1,1,0
100042,24,62.8,30.0,2,1,0
100043,23,72.0,28.5,1,2,0
100044,20,68.8,24.8,1,2,0
100045,18,75.8,19.1,1,3,0
100046,25,62.7,18.7,1,2,0
100047,21,67.6,28.1,2,4,0
100048,25,62.6,30.0,1,1,0
100049,23,67.6,17.7,1,4,0
100050,24,80.4,29.7,1,4,1
100051,24,75.6,27.7,0,3,0
100052,19,63.6,30.0,0,1,0
100053,20,85.6,29.3,0,5,1
100054,21,84.8,29.0,2,3,0
100055,21,72.0,26.8,0,5,0
100056,18,68.9,27.3,1,1,0
100057,22,93.2,24.1,4,2,1
100058,19,91.3,21.9,3,0,0
100059,23,53.8,24.4,3,3,0
100060,23,86.3,21.6,2,2,1
100061,25,92.7,22.9,0,1,0
100062,23,79.9,29.9,0,1,1
100063,20,66.4,20.6,2,4,0
100064,25,67.9,24.7,1,3,0
100065,21,92.5,18.1,1,5,1
100066,20,82.0,23.9,0,4,0
100067,25,78.6,30.0,1,0,0
100068,20,100.0,25.4,2,3,1
100069,18,59.9,19.7,0,5,0
100070,21,70.9,24.4,0,2,0
100071,24,74.3,23.8,3,3,0
100072,19,69.5,22.7,2,3,1
100073,21,49.9,27.2,2,2,0
100074,19,84.0,23.1,0,2,0
100075,23,63.0,25.9,3,2,0
100076,21,62.8,21.3,0,2,0
100077,20,67.7,28.9,2,1,0
100078,19,69.2,30.0,0,2,0
100079,22,70.5,23.0,0,3,0
100080,23,83.6,24.9,1,2,1
100081,25,86.0,26.4,2,0,0
100082,21,68.9,25.4,1,5,0
100083,19,64.8,27.9,0,4,0
100084,24,70.5,29.5,0,3,1
100085,23,61.3,18.1,1,2,0
100086,23,71.7,26.9,1,3,0
100087,18,60.6,26.2,1,3,0
100088,20,97.5,30.0,1,3,0
100089,24,73.5,25.6,0,5,0
100090,24,65.5,20.9,0,4,0
100091,21,80.5,30.0,0,5,1
100092,24,57.2,30.0,2,4,0
100093,24,63.5,30.0,2,5,0
100094,21,77.1,30.0,1,2,0
100095,25,73.6,21.0,0,4,0
100096,20,84.6,20.7,1,4,0
100097,19,39.2,27.7,1,3,0
100098,23,81.8,24.8,2,1,0
100099,23,65.5,19.2,1,1,0
100100,19,58.0,24.5,1,3,0
100101,24,51.3,30.0,1,2,0
100102,19,65.3,13.7,0,1,0
100103,24,91.1,28.5,2,0,1
100104,18,83.6,16.6,1,4,0
100105,24,91.6,24.5,0,4,1
100106,24,70.6,24.4,0,5,1
100107,24,73.3,22.2,1,4,0
